 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    135.00000000000000     
 Renormalization scale              =    135.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11141475266772986     
 PDF set = CT14qed_inc_proton                                          
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    110.00000000000000     
 Upper M limit for non-Zpole     =    160.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    110.00000000000000     
 Lepton-pair invariant mass maximum =    160.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2.3999999999999999     
 Z rapidity maximum                 =    2.3999999999999999     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =      0.0000000000000000     
 Minimum pT for Observable Photon   =   0.50000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   akta
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    30.000000000000000     
 Maximum eta for Observable Jets    =    4.7000000000000002     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =    200200000
 Requested relative precision (%)   =    1.0000000000000000E-002
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    135765.00000000000     
 Random number seed                 =           99
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    12.926634298005810
 Integration Error (pb)      =    1.6959217306796565E-003
 PDF Error (pb)              +     0.0631113
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     2.50        0.63965801    0.26481744E-02          0.328424                 0
     7.50         4.6227003    0.15889246E-02                 0          0.105571
    12.50         2.1555995    0.77729094E-03                 0         0.0480871
    17.50         1.2864088    0.48469705E-03                 0          0.028138
    22.50        0.86055885    0.35088751E-03                 0         0.0185049
    27.50        0.61676108    0.27254306E-03                 0         0.0130578
    32.50        0.46313931    0.22094096E-03                 0        0.00966673
    37.50        0.35992900    0.18452839E-03                 0        0.00741807
    42.50        0.28731772    0.15786301E-03                 0        0.00585182
    47.50        0.23332424    0.13714694E-03                 0        0.00470275
    52.50        0.19212803    0.12053554E-03                 0        0.00383335
    57.50        0.15975836    0.10673165E-03                 0        0.00315872
    62.50        0.13433486    0.95562254E-04                 0        0.00263421
    67.50        0.11388237    0.86043387E-04                 0          0.002215
    72.50    0.96871468E-01    0.77546373E-04                 0        0.00187069
    77.50    0.83100549E-01    0.70282858E-04                 0        0.00159299
    82.50    0.71697598E-01    0.63921203E-04                 0        0.00136552
    87.50    0.61815928E-01    0.58198613E-04                 0        0.00116998
    92.50    0.53741349E-01    0.53363083E-04                 0        0.00101089
    97.50    0.46843454E-01    0.48921188E-04                 0       0.000876354
   102.50    0.40866069E-01    0.44794746E-04                 0       0.000760428
   107.50    0.35926679E-01    0.41333820E-04                 0       0.000664481
   112.50    0.31578952E-01    0.38029351E-04                 0       0.000581108
   117.50    0.27793103E-01    0.35019174E-04                 0       0.000509014
   122.50    0.24592153E-01    0.32393481E-04                 0       0.000447972
   127.50    0.21801271E-01    0.30030255E-04                 0       0.000395009
   132.50    0.19400487E-01    0.27831381E-04                 0       0.000349759
   137.50    0.17290411E-01    0.25882435E-04                 0       0.000309935
   142.50    0.15396056E-01    0.24007202E-04                 0       0.000275024
   147.50    0.13761812E-01    0.22379026E-04                 0       0.000244484
   152.50    0.12276034E-01    0.20719255E-04                 0       0.000217175
   157.50    0.11038972E-01    0.19333634E-04                 0        0.00019436
   162.50    0.99334288E-02    0.18069842E-04                 0       0.000174184
   167.50    0.89327228E-02    0.16856599E-04                 0       0.000155938
   172.50    0.80828473E-02    0.15810872E-04                 0       0.000140278
   177.50    0.73167707E-02    0.14848026E-04                 0       0.000126458
   182.50    0.66124054E-02    0.13854491E-04                 0       0.000113781
   187.50    0.59910192E-02    0.12994470E-04                 0       0.000102767
   192.50    0.54467695E-02    0.12210311E-04                 0       9.29493e-05
   197.50    0.49405912E-02    0.11632910E-04                 0       8.39073e-05

  ----   Z/W rapidity   ----

    -2.30    0.58435037E-01    0.27781352E-03                 0       0.000461529
    -2.10        0.17728632    0.33988178E-03                 0        0.00134326
    -1.90        0.29695927    0.39531648E-03                 0        0.00198648
    -1.70        0.40858092    0.44131207E-03                 0        0.00205479
    -1.50        0.50720111    0.47747041E-03                 0        0.00134598
    -1.30        0.59231735    0.51433704E-03       0.000657229       0.000304586
    -1.10        0.65800806    0.53889159E-03        0.00311116                 0
    -0.90        0.71383266    0.55003225E-03        0.00570803                 0
    -0.70        0.74541439    0.54823911E-03         0.0070294                 0
    -0.50        0.76110443    0.53947550E-03        0.00726683                 0
    -0.30        0.77015275    0.53364938E-03        0.00731554                 0
    -0.10        0.77360874    0.50792539E-03        0.00734212                 0
     0.10        0.77534562    0.52225853E-03        0.00729848                 0
     0.30        0.76921241    0.51471206E-03        0.00733821                 0
     0.50        0.76138312    0.51169630E-03        0.00725919                 0
     0.70        0.74520269    0.50889824E-03        0.00703504                 0
     0.90        0.71350920    0.49552977E-03        0.00571592                 0
     1.10        0.65899391    0.49333411E-03        0.00308796                 0
     1.30        0.59276205    0.47998939E-03       0.000646599       0.000309916
     1.50        0.50811184    0.44943931E-03                 0        0.00136725
     1.70        0.40860597    0.41780449E-03                 0        0.00205219
     1.90        0.29654690    0.38034778E-03                 0        0.00197594
     2.10        0.17753688    0.32658081E-03                 0        0.00135062
     2.30    0.58426361E-01    0.27707870E-03                 0       0.000460338

  ----   Q_ll Invaria   ----

   110.50        0.84459942    0.46109542E-03                 0        0.00850259
   111.50        0.76891066    0.50199161E-03                 0        0.00685931
   112.50        0.70255239    0.50223349E-03                 0        0.00546562
   113.50        0.64508388    0.48782486E-03                 0        0.00430271
   114.50        0.59500593    0.47500328E-03                 0        0.00332497
   115.50        0.55040013    0.46362682E-03                 0        0.00243136
   116.50        0.51039010    0.45921527E-03                 0        0.00172366
   117.50        0.47546829    0.43831585E-03                 0        0.00112793
   118.50        0.44377792    0.42938700E-03                 0       0.000664812
   119.50        0.41470479    0.41479172E-03       0.000257914       0.000328671
   120.50        0.38915302    0.39234019E-03       0.000546779         0.0001565
   121.50        0.36535812    0.37966805E-03       0.000870606       5.41494e-05
   122.50        0.34397129    0.37599398E-03        0.00113473       1.36008e-05
   123.50        0.32436039    0.37531669E-03        0.00139697           5.6e-07
   124.50        0.30603683    0.36507798E-03        0.00161546                 0
   125.50        0.28946221    0.35541583E-03         0.0017936                 0
   126.50        0.27458325    0.34538759E-03         0.0019751                 0
   127.50        0.25990313    0.33939174E-03         0.0021515                 0
   128.50        0.24779242    0.33261772E-03        0.00224995                 0
   129.50        0.23550961    0.32512621E-03        0.00238304                 0
   130.50        0.22390848    0.31877604E-03         0.0024543                 0
   131.50        0.21343122    0.30830622E-03        0.00252472                 0
   132.50        0.20368720    0.30411489E-03        0.00259237                 0
   133.50        0.19480887    0.29655432E-03         0.0026358                 0
   134.50        0.18662575    0.28943743E-03        0.00270074                 0
   135.50        0.17788563    0.27320612E-03         0.0027272                 0
   136.50        0.17055971    0.27282054E-03        0.00277301                 0
   137.50        0.16373073    0.27161550E-03        0.00277466                 0
   138.50        0.15710474    0.26475784E-03        0.00282355                 0
   139.50        0.15064344    0.25963566E-03        0.00281948                 0
   140.50        0.14490914    0.25512915E-03        0.00281355                 0
   141.50        0.13937887    0.25368908E-03        0.00279366                 0
   142.50        0.13364644    0.24826014E-03         0.0028111                 0
   143.50        0.12910807    0.24394005E-03        0.00278739                 0
   144.50        0.12468477    0.23830607E-03        0.00277263                 0
   145.50        0.12001804    0.23402450E-03        0.00274875                 0
   146.50        0.11557081    0.22937187E-03        0.00272719                 0
   147.50        0.11116981    0.22611910E-03        0.00271366                 0
   148.50        0.10755552    0.22288023E-03        0.00270688                 0
   149.50        0.10392789    0.21872773E-03        0.00267023                 0
   150.50        0.10047009    0.21722011E-03        0.00263416                 0
   151.50    0.96869634E-01    0.21074623E-03        0.00265954                 0
   152.50    0.93957031E-01    0.20981955E-03        0.00260084                 0
   153.50    0.90605557E-01    0.20617777E-03        0.00256342                 0
   154.50    0.87990996E-01    0.20260505E-03        0.00255907                 0
   155.50    0.84898893E-01    0.19686165E-03        0.00251903                 0
   156.50    0.82533942E-01    0.19196810E-03        0.00250138                 0
   157.50    0.79667797E-01    0.18829922E-03        0.00245465                 0
   158.50    0.77763133E-01    0.18284422E-03        0.00240409                 0
   159.50    0.75062748E-01    0.17944323E-03        0.00243057                 0

  ----   l-/lep. pT     ----

     2.50         0.0000000         0.0000000                 0                 0
     7.50    0.62216900E-03    0.56791938E-05                 0       1.34878e-05
    12.50    0.37732101E-01    0.77748120E-04                 0       0.000813989
    17.50    0.87785927E-01    0.12905702E-03                 0        0.00190181
    22.50        0.22147885    0.27700289E-03                 0        0.00490478
    27.50        0.50191805    0.83577031E-03         0.0201424                 0
    32.50        0.64449847    0.92577607E-03             0.025                 0
    37.50        0.86225686    0.10812253E-02         0.0195188                 0
